experiment,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC),CV_list(Accuracy),CV_list(Precision),CV_list(Recall),CV_list(F1)
lab1/outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,5,0.8556291390728477,0.7110788212228104,0.6077940236625892,0.62749592466464,0.6077940236625892,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937]"
lab1/outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,10,0.8781456953642385,0.7308149824114177,0.632696434188439,0.6553908148160337,0.6326964341884389,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196]"
lab1/outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,30,0.879028697571744,0.7334947547249142,0.6415055765428515,0.6635599204654353,0.6415055765428515,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194), np.float64(0.6466198419666375), np.float64(0.6800925925925926), np.float64(0.6309160305343512), np.float64(0.6372549019607843), np.float64(0.6663143058491896), np.float64(0.705672554347826), np.float64(0.5998329156223894), np.float64(0.6053149606299212), np.float64(0.6319082377476538), np.float64(0.7439431913116124), np.float64(0.6512820512820512), np.float64(0.5206959706959707), np.float64(0.6687649880095924), np.float64(0.7135036496350365), np.float64(0.6082417582417582), np.float64(0.6041269841269842), np.float64(0.6627296587926509), np.float64(0.6478696741854636), np.float64(0.6340277777777777), np.float64(0.6590909090909091)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205, 0.8741721854304636, 0.9205298013245033, 0.8741721854304636, 0.8807947019867549, 0.8807947019867549, 0.8940397350993378, 0.8874172185430463, 0.847682119205298, 0.9139072847682119, 0.8874172185430463, 0.8807947019867549, 0.8278145695364238, 0.8807947019867549, 0.8874172185430463, 0.8410596026490066, 0.847682119205298, 0.8874172185430463, 0.8874172185430463, 0.8874172185430463, 0.9006622516556292]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196, 0.6741397288842544, 0.840034965034965, 0.7227272727272727, 0.6560758082497213, 0.7829736211031175, 0.8375139353400223, 0.7371031746031746, 0.7084415584415584, 0.7509920634920635, 0.7328548644338118, 0.7681818181818182, 0.5442097026604069, 0.6303240740740741, 0.6797629499561018, 0.6448529411764705, 0.7326241134751773, 0.8881064162754304, 0.7298701298701298, 0.6879870129870129, 0.9479166666666667]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196, 0.6466198419666375, 0.6800925925925926, 0.6309160305343512, 0.6372549019607843, 0.6663143058491896, 0.705672554347826, 0.5998329156223893, 0.6053149606299213, 0.6319082377476538, 0.7439431913116124, 0.6512820512820513, 0.5206959706959706, 0.6687649880095924, 0.7135036496350364, 0.6082417582417583, 0.6041269841269841, 0.6627296587926509, 0.6478696741854636, 0.6340277777777779, 0.6590909090909091]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196, 0.6584930365432686, 0.7284172661870504, 0.6584930365432686, 0.6457247132429614, 0.70171202809482, 0.747702589807853, 0.6293140794223827, 0.6283574103798824, 0.6673445178783257, 0.7381947985721571, 0.6854166666666667, 0.5188725490196079, 0.6457247132429614, 0.6944411379597667, 0.6215538847117794, 0.6283574103798824, 0.71082572941309, 0.6757610205886068, 0.6542760942760943, 0.7139067828723001]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,5,0.8556291390728477,0.7110788212228104,0.6077940236625892,0.62749592466464,0.6077940236625892,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,10,0.8781456953642385,0.7308149824114177,0.632696434188439,0.6553908148160337,0.6326964341884389,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,30,0.879028697571744,0.7334947547249142,0.6415055765428515,0.6635599204654353,0.6415055765428515,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194), np.float64(0.6466198419666375), np.float64(0.6800925925925926), np.float64(0.6309160305343512), np.float64(0.6372549019607843), np.float64(0.6663143058491896), np.float64(0.705672554347826), np.float64(0.5998329156223894), np.float64(0.6053149606299212), np.float64(0.6319082377476538), np.float64(0.7439431913116124), np.float64(0.6512820512820512), np.float64(0.5206959706959707), np.float64(0.6687649880095924), np.float64(0.7135036496350365), np.float64(0.6082417582417582), np.float64(0.6041269841269842), np.float64(0.6627296587926509), np.float64(0.6478696741854636), np.float64(0.6340277777777777), np.float64(0.6590909090909091)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205, 0.8741721854304636, 0.9205298013245033, 0.8741721854304636, 0.8807947019867549, 0.8807947019867549, 0.8940397350993378, 0.8874172185430463, 0.847682119205298, 0.9139072847682119, 0.8874172185430463, 0.8807947019867549, 0.8278145695364238, 0.8807947019867549, 0.8874172185430463, 0.8410596026490066, 0.847682119205298, 0.8874172185430463, 0.8874172185430463, 0.8874172185430463, 0.9006622516556292]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196, 0.6741397288842544, 0.840034965034965, 0.7227272727272727, 0.6560758082497213, 0.7829736211031175, 0.8375139353400223, 0.7371031746031746, 0.7084415584415584, 0.7509920634920635, 0.7328548644338118, 0.7681818181818182, 0.5442097026604069, 0.6303240740740741, 0.6797629499561018, 0.6448529411764705, 0.7326241134751773, 0.8881064162754304, 0.7298701298701298, 0.6879870129870129, 0.9479166666666667]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196, 0.6466198419666375, 0.6800925925925926, 0.6309160305343512, 0.6372549019607843, 0.6663143058491896, 0.705672554347826, 0.5998329156223893, 0.6053149606299213, 0.6319082377476538, 0.7439431913116124, 0.6512820512820513, 0.5206959706959706, 0.6687649880095924, 0.7135036496350364, 0.6082417582417583, 0.6041269841269841, 0.6627296587926509, 0.6478696741854636, 0.6340277777777779, 0.6590909090909091]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196, 0.6584930365432686, 0.7284172661870504, 0.6584930365432686, 0.6457247132429614, 0.70171202809482, 0.747702589807853, 0.6293140794223827, 0.6283574103798824, 0.6673445178783257, 0.7381947985721571, 0.6854166666666667, 0.5188725490196079, 0.6457247132429614, 0.6944411379597667, 0.6215538847117794, 0.6283574103798824, 0.71082572941309, 0.6757610205886068, 0.6542760942760943, 0.7139067828723001]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,5,0.8556291390728477,0.7110788212228104,0.6077940236625892,0.62749592466464,0.6077940236625892,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,10,0.8781456953642385,0.7308149824114177,0.632696434188439,0.6553908148160337,0.6326964341884389,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,30,0.879028697571744,0.7334947547249142,0.6415055765428515,0.6635599204654353,0.6415055765428515,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721), np.float64(0.7235228539576367), np.float64(0.6321334503950835), np.float64(0.5637958532695375), np.float64(0.6276106934001671), np.float64(0.7409313725490194), np.float64(0.6466198419666375), np.float64(0.6800925925925926), np.float64(0.6309160305343512), np.float64(0.6372549019607843), np.float64(0.6663143058491896), np.float64(0.705672554347826), np.float64(0.5998329156223894), np.float64(0.6053149606299212), np.float64(0.6319082377476538), np.float64(0.7439431913116124), np.float64(0.6512820512820512), np.float64(0.5206959706959707), np.float64(0.6687649880095924), np.float64(0.7135036496350365), np.float64(0.6082417582417582), np.float64(0.6041269841269842), np.float64(0.6627296587926509), np.float64(0.6478696741854636), np.float64(0.6340277777777777), np.float64(0.6590909090909091)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153, 0.9403973509933775, 0.8940397350993378, 0.8675496688741722, 0.8940397350993378, 0.9072847682119205, 0.8741721854304636, 0.9205298013245033, 0.8741721854304636, 0.8807947019867549, 0.8807947019867549, 0.8940397350993378, 0.8874172185430463, 0.847682119205298, 0.9139072847682119, 0.8874172185430463, 0.8807947019867549, 0.8278145695364238, 0.8807947019867549, 0.8874172185430463, 0.8410596026490066, 0.847682119205298, 0.8874172185430463, 0.8874172185430463, 0.8874172185430463, 0.9006622516556292]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845, 0.8505244755244755, 0.7355242566510172, 0.6587301587301587, 0.7670454545454546, 0.7409313725490196, 0.6741397288842544, 0.840034965034965, 0.7227272727272727, 0.6560758082497213, 0.7829736211031175, 0.8375139353400223, 0.7371031746031746, 0.7084415584415584, 0.7509920634920635, 0.7328548644338118, 0.7681818181818182, 0.5442097026604069, 0.6303240740740741, 0.6797629499561018, 0.6448529411764705, 0.7326241134751773, 0.8881064162754304, 0.7298701298701298, 0.6879870129870129, 0.9479166666666667]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722, 0.7235228539576366, 0.6321334503950834, 0.5637958532695375, 0.6276106934001671, 0.7409313725490196, 0.6466198419666375, 0.6800925925925926, 0.6309160305343512, 0.6372549019607843, 0.6663143058491896, 0.705672554347826, 0.5998329156223893, 0.6053149606299213, 0.6319082377476538, 0.7439431913116124, 0.6512820512820513, 0.5206959706959706, 0.6687649880095924, 0.7135036496350364, 0.6082417582417583, 0.6041269841269841, 0.6627296587926509, 0.6478696741854636, 0.6340277777777779, 0.6590909090909091]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937, 0.7697000508388409, 0.6633221850613155, 0.5791527313266444, 0.6633221850613155, 0.7409313725490196, 0.6584930365432686, 0.7284172661870504, 0.6584930365432686, 0.6457247132429614, 0.70171202809482, 0.747702589807853, 0.6293140794223827, 0.6283574103798824, 0.6673445178783257, 0.7381947985721571, 0.6854166666666667, 0.5188725490196079, 0.6457247132429614, 0.6944411379597667, 0.6215538847117794, 0.6283574103798824, 0.71082572941309, 0.6757610205886068, 0.6542760942760943, 0.7139067828723001]"
outputs/pytorch_BERT-LR_CodeSnippetsAndErrorLogsIncluded.csv,5,0.8556291390728477,0.7110788212228104,0.6077940236625892,0.62749592466464,0.6077940236625892,"[np.float64(0.5758145363408521), np.float64(0.5949477351916376), np.float64(0.7347328244274809), np.float64(0.5529304029304029), np.float64(0.5805446194225721)]","[0.8874172185430463, 0.8344370860927153, 0.9072847682119205, 0.8145695364238411, 0.8344370860927153]","[0.7486301369863013, 0.755868544600939, 0.8206465067778936, 0.5708333333333333, 0.6594155844155845]","[0.5758145363408521, 0.5949477351916376, 0.7347328244274809, 0.552930402930403, 0.5805446194225722]","[0.5999688327879071, 0.6149923508414075, 0.767998244073749, 0.5584795321637427, 0.5960406634563937]"
