id,Number,sentiment,text
688,17355,0,"The Python __doc__ for each global op should be carried over from its source. ## 🐛 Bug

 is missing for many global operators (, , ...).

## To Reproduce





## Expected behavior

Global ops should contain valid s.

## Environment

PyTorch version: 1.0.1.post2
Is debug build: No
CUDA used to build PyTorch: 9.0.176

OS: Ubuntu 16.04.5 LTS
GCC version: (Ubuntu 5.4.0-6ubuntu1~16.04.11) 5.4.0 20160609
CMake version: version 3.9.4

Python version: 3.6
Is CUDA available: Yes
CUDA runtime version: Could not collect
GPU models and configuration: 
GPU 0: GeForce GTX TITAN Black
GPU 1: GeForce GTX TITAN Black
GPU 2: GeForce GTX TITAN Black
GPU 3: GeForce GTX TITAN Black

Nvidia driver version: 390.30
cuDNN version: /usr/lib/x86_64-linux-gnu/libcudnn.so.7.1.1
. ['python\r\nprint(torch.log_softmax.__doc__)\r\n# None\r\n', 'python\r\nprint(torch.nn.functional.log_softmax.__doc__)\r\n# Correctly prints documentation.\r\n']"
616,13787,0,"Dataloader Segmentation Fault when using MPI backend & single process per gpu. ## 🐛 Bug

When using DistributedDataParallel with mpi backend and assigning each gpu a single process on the host, program crashes at the end of an epoch. Failure is not always consistent.




## To Reproduce
[https://github.com/pytorch/examples/blob/master/imagenet/main.py](https://github.com/pytorch/examples/blob/master/imagenet/main.py)

run


Modifications:



## Environment

## Additional context

Crash is less likely to occur if the  is decreased,  or the  is increased.

core dump generated


[pytorchsegfault](https://github.com/pytorch/pytorch/files/2572658/pytorchsegfault.txt)

. ['\r\n[82362] *** Process received signal ***\r\n[82362] Signal: Segmentation fault (11)\r\n[82362] Signal code: Address not mapped (1)\r\n[82362] Failing at address: 0x1d3fca368\r\n[82362] [ 0] [0x7fffa5f504d8]\r\n[82362] [ 1] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0x11c258)[0x7fffa5d8c258]\r\n[82362] [ 2] /lib64/libc.so.6(__libc_malloc+0x8c)[0x7fffa597945c]\r\n[82362] [ 3] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0xdabe0)[0x7fffa5d4abe0]\r\n[82362] [ 4] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(_PyObject_GenericSetAttrWithDict+0x11c)[0x7fffa5d5915c]\r\n[82362] [ 5] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_GenericSetAttr+0x1c)[0x7fffa5d5937c]\r\n[82362] [ 6] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_SetAttr+0xb0)[0x7fffa5d588a0]\r\n[82362] [ 7] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0x698c)[0x7fffa5df989c]\r\n[82362] [ 8] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalCodeEx+0xd18)[0x7fffa5dfea78]\r\n[82362] [ 9] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0x8150)[0x7fffa5dfb060]\r\n[82362] [10] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0xa68c)[0x7fffa5dfd59c]\r\n[82362] [11] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalCodeEx+0xd18)[0x7fffa5dfea78]\r\n[82362] [12] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0xba5b4)[0x7fffa5d2a5b4]\r\n[82362] [13] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_Call+0x74)[0x7fffa5cd9754]\r\n[82362] [14] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_CallMethod+0xd0)[0x7fffa5cd9cc0]\r\n[82362] [15] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_ReInitThreads+0xa0)[0x7fffa5df17d0]\r\n[82362] [16] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyOS_AfterFork+0x68)[0x7fffa5e5fa08]\r\n[82362] [17] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0x1f63b4)[0x7fffa5e663b4]\r\n[82362] [18] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0x823c)[0x7fffa5dfb14c]\r\n[82362] [19] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalCodeEx+0xd18)[0x7fffa5dfea78]\r\n[82362] [20] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0xba5b4)[0x7fffa5d2a5b4]\r\n[82362] [21] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_Call+0x74)[0x7fffa5cd9754]\r\n[82362] [22] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0x812e0)[0x7fffa5cf12e0]\r\n[82362] [23] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_Call+0x74)[0x7fffa5cd9754]\r\n[82362] [24] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0x11c220)[0x7fffa5d8c220]\r\n[82362] [25] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(+0x1179a8)[0x7fffa5d879a8]\r\n[82362] [26] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyObject_Call+0x74)[0x7fffa5cd9754]\r\n[82362] [27] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0x1788)[0x7fffa5df4698]\r\n[82362] [28] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalFrameEx+0xa68c)[0x7fffa5dfd59c]\r\n[82362] [29] /mnt/pai/home/yfeng/anaconda2/bin/../lib/libpython2.7.so.1.0(PyEval_EvalCodeEx+0xd18)[0x7fffa5dfea78]\r\n[82362] *** End of error message ***\r\nTraceback (most recent call last):\r\nTraceback (most recent call last):\r\n  File ""pytorch-examples/imagenet/main.py"", line 415, in <module>\r\n    main()\r\n  File ""pytorch-examples/imagenet/main.py"", line 242, in main\r\n    prec1 = validate(val_loader, model, criterion)\r\n  File ""pytorch-examples/imagenet/main.py"", line 332, in validate\r\n    for i, (input, target) in enumerate(val_loader):\r\n  File ""/opt/pytorch/lib/python2.7/site-packages/torch/utils/data/dataloader.py"", line 819, in __iter__\r\n    return _DataLoaderIter(self)\r\n  File ""/opt/pytorch/lib/python2.7/site-packages/torch/utils/data/dataloader.py"", line 584, in __init__\r\n    self._put_indices()\r\n  File ""/opt/pytorch/lib/python2.7/site-packages/torch/utils/data/dataloader.py"", line 646, in _put_indices\r\n    indices = next(self.sample_iter, None)\r\n  File ""/opt/pytorch/lib/python2.7/site-packages/torch/utils/data/sampler.py"", line 161, in __iter__\r\n    batch.append(idx)\r\n  File ""/opt/pytorch/lib/python2.7/site-packages/torch/utils/data/dataloader.py"", line 274, in handler\r\n    _error_if_any_worker_fails()\r\nRuntimeError: DataLoader worker (pid 82360) is killed by signal: Segmentation fault. \r\n', ""\r\n        local_rank = int(os.getenv('OMPI_COMM_WORLD_LOCAL_RANK'))\r\n        world_size = int(os.getenv('OMPI_COMM_WORLD_SIZE'))\r\n...\r\n        dist.init_process_group(backend=args.dist_backend, init_method=args.dist_url,\r\n                                world_size=world_size)\r\n...\r\n        torch.cuda.set_device(local_rank)\r\n        model = torch.nn.parallel.DistributedDataParallel(model,\r\n                                                          device_ids=[local_rank],\r\n                                                          output_device=local_rank)\r\n"", '\r\nCollecting environment information...\r\nPyTorch version: 1.0.0\r\nIs debug build: No\r\nCUDA used to build PyTorch: 10.0.130\r\n\r\nOS: Red Hat Enterprise Linux Server 7.5 (Maipo)\r\nGCC version: (GCC) 4.8.5 20150623 (Red Hat 4.8.5-28)\r\nCMake version: Could not collect\r\n\r\nPython version: 2.7\r\nIs CUDA available: Yes\r\nCUDA runtime version: 10.0.130\r\nGPU models and configuration: \r\nGPU 0: Tesla V100-SXM2-32GB\r\nGPU 1: Tesla V100-SXM2-32GB\r\nGPU 2: Tesla V100-SXM2-32GB\r\nGPU 3: Tesla V100-SXM2-32GB\r\n\r\nNvidia driver version: 410.72\r\ncuDNN version: Probably one of the following:\r\n/usr/local/cuda-10.0/targets/ppc64le-linux/lib/libcudnn.so.7.3.0\r\n/usr/local/cuda-10.0/targets/ppc64le-linux/lib/libcudnn_static.a\r\n', '\r\n(gdb) bt\r\n#0  0x00007fffa24065e0 in _int_malloc () from /lib64/libc.so.6\r\n#1  0x00007fffa240945c in malloc () from /lib64/libc.so.6\r\n#2  0x00007fffa27c7490 in PyList_New () from /opt/anaconda2/bin/../lib/libpython2.7.so.1.0\r\n#3  0x00007fffa27c7948 in list_concat () from /opt/anaconda2/bin/../lib/libpython2.7.so.1.0\r\n#4  0x00007fffa275ebf0 in PyNumber_Add () from /opt/anaconda2/bin/../lib/libpython2.7.so.1.0\r\n#5  0x00007fffa2886e90 in PyEval_EvalFrameEx () from /opt/anaconda2/bin/../lib/libpython2.7.so.1.0\r\n']"
322,18998,0,"torch.from_PIL() Request ?. ## 🚀 Feature
A simple method for transforming a PIL images directly into torch tensor.

## Motivation
It's frustrating to use transforms for a simple conversion between a PIL image and torch tensors and in the same time it's very easy to get tensor from numpy through  

## Pitch

Giving it a PIL images of any type and it returns a torch tensor

## Alternatives
I have considered two:
1. Transforms
2. convert it first to numpy then to torch
. ['torch.from_numpy()']"
241,4302,0,"'torch.HalfTensor' object has no attribute 'mean'.  results into
 > 'torch.HalfTensor' object has no attribute 'mean'

 is 0.4.0a0+5f7c550. []"
647,367,0,Support dilation in Conv1d and Conv3d. []
701,3093,0,"better error messages on compiling with cudnn v5 (which is not supported anymore). Hi All --

I'm getting the following error when I try to build:



Seems like the  flags were added within the past couple of weeks, and I can't find anything Googling the errors.

I have CUDNNV5 and CUDA 8.0 on an Ubuntu16.04 box.  Can provide more details as needed.

Thanks
. ['\r\n   if (perfResults.status == CUDNN_STATUS_SUCCESS && !(deterministic && perfResults.determinism != CUDNN_DETERMINISTIC)) {\r\n                                                                                                ^\r\ntorch/csrc/cudnn/Conv.cpp: In instantiation of ‘void torch::cudnn::{anonymous}::findAlgorithm(THCState*, cudnnHandle_t, const torch::cudnn::Convolution&, bool, bool, void*, void*, void*, algo_t*) [with algo_t = cudnnConvolutionBwdDataAlgo_t; THCState = THCState; cudnnHandle_t = cudnnContext*]’:\r\ntorch/csrc/cudnn/Conv.cpp:465:83:   required from ‘torch::cudnn::{anonymous}::Workspace torch::cudnn::{anonymous}::chooseAlgorithm(THCState*, cudnnHandle_t, const torch::cudnn::Convolution&, bool, bool, void*, void*, void*, algo_t*) [with algo_t = cudnnConvolutionBwdDataAlgo_t; THCState = THCState; cudnnHandle_t = cudnnContext*]’\r\ntorch/csrc/cudnn/Conv.cpp:726:18:   required from here\r\ntorch/csrc/cudnn/Conv.cpp:448:96: error: ‘struct cudnnConvolutionBwdDataAlgoPerf_t’ has no member named ‘determinism’\r\ntorch/csrc/cudnn/Conv.cpp: In instantiation of ‘void torch::cudnn::{anonymous}::findAlgorithm(THCState*, cudnnHandle_t, const torch::cudnn::Convolution&, bool, bool, void*, void*, void*, algo_t*) [with algo_t = cudnnConvolutionBwdFilterAlgo_t; THCState = THCState; cudnnHandle_t = cudnnContext*]’:\r\ntorch/csrc/cudnn/Conv.cpp:465:83:   required from ‘torch::cudnn::{anonymous}::Workspace torch::cudnn::{anonymous}::chooseAlgorithm(THCState*, cudnnHandle_t, const torch::cudnn::Convolution&, bool, bool, void*, void*, void*, algo_t*) [with algo_t = cudnnConvolutionBwdFilterAlgo_t; THCState = THCState; cudnnHandle_t = cudnnContext*]’\r\ntorch/csrc/cudnn/Conv.cpp:766:20:   required from here\r\ntorch/csrc/cudnn/Conv.cpp:448:96: error: ‘struct cudnnConvolutionBwdFilterAlgoPerf_t’ has no member named ‘determinism’\r\n']"
57,23871,1,"Quantized conv is 6x slower than float on CPU. Repro:
 Run resnext101-32x8d with quantized conv instead of float conv and measure elapsed time.

Possible causes:
 Layout transform before and after quantized conv2d calls.. []"
350,15284,0,"index_add_ with scalar values instead of tensors. Hi, I was wondering whether we could update functions like  so that the third argument () can also be a scalar value?. []"
311,9983,0,"[feature request] Add matrix functions. Add matrix power as implemented by [numpy.linalg.matrix_power](https://docs.scipy.org/doc/numpy/reference/generated/numpy.linalg.matrix_power.html), matrix exponential as implemented by [scipy.linalg.expm](https://docs.scipy.org/doc/scipy-0.15.1/reference/generated/scipy.linalg.expm.html), and matrix logarithm as implemented by [scipy.linalg.logm](https://docs.scipy.org/doc/scipy-0.15.1/reference/generated/scipy.linalg.logm.html).


- [x] matrix_power
- [x] matrix_exp
- [ ] matrix_log
- [ ] matrix_sqrt

cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @anjali411 @jianyuh @nikitaved @pearu @mruberry @heitorschueroff @walterddr @IvanYashchuk @xwang233 @Lezcano @rgommers. []"
277,9484,0,"WARNING:root:This caffe2 python run does not have GPU support. Will run in CPU only mode. WARNING:root:Debug message: libcurand.so.9.0: cannot open shared object file: No such file or directory Segmentation fault (core dumped). HI,
I have GPU and CUDA, CuDNN, and NCCL. My OS is Ubuntu 16.04, I followed this tutorial to install Coffe2 with GPU support (
conda install -c caffe2 caffe2-cuda9.0-cudnn7
) and the installation finished successfully but this command: python2 -c 'from caffe2.python import workspace; print(workspace.NumCudaDevices())'

returns: WARNING:root:This caffe2 python run does not have GPU support. Will run in CPU only mode.
WARNING:root:Debug message: libcurand.so.9.0: cannot open shared object file: No such file or directory
Segmentation fault (core dumped)
Any Idea how can I solve it??
TNX

$nvcc --version
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2018 NVIDIA Corporation
Built on Tue_Jun_12_23:07:04_CDT_2018
Cuda compilation tools, release 9.2, V9.2.148

$ conda -V
conda 4.5.8

 nvidia-smi
Tue Jul 17 01:58:01 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 384.130                Driver Version: 384.130                   |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Quadro M520         Off  | 00000000:02:00.0 Off |                  N/A |
| N/A   41C    P0    N/A /  N/A |    298MiB /  2002MiB |      2%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     21578      G   /usr/lib/xorg/Xorg                           234MiB |
|    0     22157      G   compiz                                        62MiB |
+-----------------------------------------------------------------------------+

. []"
